"","V1","V2","V3"
"8272","V",1020,"1"
"8273","V",1038,"1"
"8274","V",1026,"1"
"8275","V",1207,"1"
"8276","V",1070,"1"
"8277","V",1041,"1"
"8278","V",1004,"1"
"8279","C",16876,"16876"
"8280","V",1035,"1"
"8281","V",1000,"1"
"8282","V",1009,"1"
"8283","V",1211,"1"
"8284","V",1001,"1"
"8285","V",1003,"1"
"8286","V",1018,"1"
"8287","V",1034,"1"
"8288","V",1075,"1"
"8289","C",16881,"16881"
"8290","V",1035,"1"
"8291","V",1008,"1"
"8292","V",1090,"1"
"8293","V",1009,"1"
"8294","V",1001,"1"
"8295","V",1003,"1"
"8296","V",1032,"1"
"8297","V",1018,"1"
"8298","V",1034,"1"
"8299","C",16885,"16885"
"8300","V",1008,"1"
"8301","V",1038,"1"
"8302","V",1026,"1"
"8303","V",1070,"1"
"8304","V",1041,"1"
"8305","V",1034,"1"
"8306","C",16889,"16889"
"8307","V",1025,"1"
"8308","V",1058,"1"
"8309","V",1026,"1"
"8310","V",1001,"1"
"8311","V",1003,"1"
"8312","V",1004,"1"
"8313","V",1034,"1"
"8314","C",16907,"16907"
"8315","V",1008,"1"
"8316","V",1025,"1"
"8317","V",1052,"1"
"8318","V",1026,"1"
"8319","V",1050,"1"
"8320","V",1041,"1"
"8321","V",1034,"1"
"8322","C",16910,"16910"
"8323","V",1008,"1"
"8324","V",1016,"1"
"8325","V",1052,"1"
"8326","V",1031,"1"
"8327","V",1060,"1"
"8328","V",1018,"1"
"8329","C",16916,"16916"
"8330","V",1035,"1"
"8331","V",1008,"1"
"8332","V",1046,"1"
"8333","V",1009,"1"
"8334","V",1001,"1"
"8335","V",1003,"1"
"8336","V",1018,"1"
"8337","V",1034,"1"
"8338","C",16927,"16927"
"8339","V",1000,"1"
"8340","V",1037,"1"
"8341","V",1009,"1"
"8342","V",1040,"1"
"8343","V",1017,"1"
"8344","V",1001,"1"
"8345","V",1014,"1"
"8346","V",1034,"1"
"8347","C",16930,"16930"
"8348","V",1025,"1"
"8349","V",1008,"1"
"8350","V",1065,"1"
"8351","V",1070,"1"
"8352","V",1001,"1"
"8353","V",1003,"1"
"8354","V",1041,"1"
"8355","V",1004,"1"
"8356","V",1053,"1"
"8357","C",16932,"16932"
"8358","V",1113,"1"
"8359","V",1076,"1"
"8360","V",1041,"1"
"8361","V",1001,"1"
"8362","V",1034,"1"
"8363","V",1018,"1"
"8364","V",1078,"1"
"8365","V",1074,"1"
"8366","C",16934,"16934"
"8367","V",1020,"1"
"8368","V",1058,"1"
"8369","V",1017,"1"
"8370","V",1034,"1"
"8371","V",1042,"1"
"8372","V",1018,"1"
"8373","V",1053,"1"
"8374","C",16948,"16948"
"8375","V",1022,"1"
"8376","V",1069,"1"
"8377","V",1168,"1"
"8378","V",1017,"1"
"8379","V",1018,"1"
"8380","V",1004,"1"
"8381","V",1035,"1"
"8382","V",1037,"1"
"8383","V",1009,"1"
"8384","V",1003,"1"
"8385","V",1001,"1"
"8386","V",1034,"1"
"8387","C",16955,"16955"
"8388","V",1000,"1"
"8389","V",1037,"1"
"8390","V",1009,"1"
"8391","V",1168,"1"
"8392","V",1017,"1"
"8393","V",1001,"1"
"8394","V",1004,"1"
"8395","C",16965,"16965"
"8396","V",1008,"1"
"8397","V",1135,"1"
"8398","V",1060,"1"
"8399","V",1052,"1"
"8400","V",1001,"1"
"8401","V",1004,"1"
"8402","V",1018,"1"
"8403","C",16967,"16967"
"8404","V",1098,"1"
"8405","V",1065,"1"
"8406","V",1017,"1"
"8407","V",1244,"1"
"8408","V",1021,"1"
"8409","V",1010,"1"
"8410","V",1046,"1"
"8411","V",1053,"1"
"8412","V",1034,"1"
"8413","C",16970,"16970"
"8414","V",1008,"1"
"8415","V",1035,"1"
"8416","V",1037,"1"
"8417","V",1017,"1"
"8418","V",1001,"1"
"8419","V",1018,"1"
"8420","V",1004,"1"
"8421","C",16976,"16976"
"8422","V",1030,"1"
"8423","V",1076,"1"
"8424","V",1017,"1"
"8425","V",1004,"1"
"8426","V",1078,"1"
"8427","V",1018,"1"
"8428","V",1043,"1"
"8429","C",16979,"16979"
"8430","V",1008,"1"
"8431","V",1038,"1"
"8432","V",1060,"1"
"8433","V",1052,"1"
"8434","V",1026,"1"
"8435","V",1041,"1"
"8436","V",1018,"1"
"8437","C",16989,"16989"
"8438","V",1124,"1"
"8439","V",1076,"1"
"8440","V",1004,"1"
"8441","V",1078,"1"
"8442","V",1018,"1"
"8443","V",1074,"1"
"8444","V",1030,"1"
"8445","V",1150,"1"
"8446","V",1001,"1"
"8447","V",1003,"1"
"8448","V",1034,"1"
"8449","C",17003,"17003"
"8450","V",1009,"1"
"8451","V",1001,"1"
"8452","V",1003,"1"
"8453","V",1018,"1"
"8454","V",1004,"1"
"8455","V",1083,"1"
"8456","C",17010,"17010"
"8457","V",1208,"1"
"8458","V",1108,"1"
"8459","V",1024,"1"
"8460","V",1067,"1"
"8461","V",1011,"1"
"8462","V",1009,"1"
"8463","V",1081,"1"
"8464","V",1157,"1"
"8465","V",1020,"1"
"8466","V",1070,"1"
"8467","V",1017,"1"
"8468","V",1010,"1"
"8469","V",1008,"1"
"8470","V",1113,"1"
"8471","V",1030,"1"
"8472","V",1026,"1"
"8473","V",1041,"1"
"8474","V",1028,"1"
"8475","C",17042,"17042"
"8476","V",1119,"1"
"8477","V",1025,"1"
"8478","V",1174,"1"
"8479","V",1058,"1"
"8480","V",1032,"1"
"8481","V",1003,"1"
"8482","V",1034,"1"
"8483","V",1004,"1"
"8484","C",17045,"17045"
"8485","V",1035,"1"
"8486","V",1008,"1"
"8487","V",1037,"1"
"8488","V",1009,"1"
"8489","V",1018,"1"
"8490","V",1034,"1"
"8491","C",17048,"17048"
"8492","V",1004,"1"
"8493","V",1018,"1"
"8494","V",1008,"1"
"8495","V",1029,"1"
"8496","V",1009,"1"
"8497","V",1218,"1"
"8498","V",1039,"1"
"8499","V",1040,"1"
"8500","V",1003,"1"
"8501","V",1002,"1"
"8502","V",1048,"1"
"8503","V",1034,"1"
"8504","C",17059,"17059"
"8505","V",1008,"1"
"8506","V",1035,"1"
"8507","V",1099,"1"
"8508","V",1009,"1"
"8509","V",1049,"1"
"8510","V",1001,"1"
"8511","V",1003,"1"
"8512","V",1018,"1"
"8513","C",17062,"17062"
"8514","V",1204,"1"
"8515","V",1051,"1"
"8516","V",1026,"1"
"8517","V",1006,"1"
"8518","V",1041,"1"
"8519","V",1004,"1"
"8520","V",1034,"1"
"8521","C",17066,"17066"
"8522","V",1008,"1"
"8523","V",1009,"1"
"8524","V",1046,"1"
"8525","V",1001,"1"
"8526","V",1034,"1"
"8527","V",1018,"1"
"8528","C",17072,"17072"
"8529","V",1113,"1"
"8530","V",1008,"1"
"8531","V",1010,"1"
"8532","V",1020,"1"
"8533","V",1001,"1"
"8534","V",1041,"1"
"8535","V",1034,"1"
"8536","C",17075,"17075"
"8537","V",1017,"1"
"8538","V",1155,"1"
"8539","V",1137,"1"
"8540","V",1004,"1"
"8541","V",1057,"1"
"8542","V",1008,"1"
"8543","V",1055,"1"
"8544","V",1040,"1"
"8545","V",1061,"1"
"8546","V",1075,"1"
"8547","C",17079,"17079"
"8548","V",1008,"1"
"8549","V",1064,"1"
"8550","V",1038,"1"
"8551","V",1026,"1"
"8552","V",1024,"1"
"8553","V",1034,"1"
"8554","C",17082,"17082"
"8555","V",1009,"1"
"8556","V",1017,"1"
"8557","V",1076,"1"
"8558","V",1001,"1"
"8559","V",1003,"1"
"8560","V",1018,"1"
"8561","V",1078,"1"
"8562","C",17103,"17103"
"8563","V",1008,"1"
"8564","V",1010,"1"
"8565","V",1009,"1"
"8566","V",1017,"1"
"8567","V",1003,"1"
"8568","V",1013,"1"
"8569","V",1018,"1"
"8570","V",1105,"1"
"8571","C",17106,"17106"
"8572","V",1118,"1"
"8573","V",1018,"1"
"8574","V",1004,"1"
"8575","V",1008,"1"
"8576","V",1003,"1"
"8577","V",1197,"1"
"8578","V",1134,"1"
"8579","V",1105,"1"
"8580","C",17116,"17116"
"8581","V",1054,"1"
"8582","V",1017,"1"
"8583","V",1177,"1"
"8584","V",1014,"1"
"8585","V",1004,"1"
"8586","V",1008,"1"
"8587","V",1000,"1"
"8588","V",1030,"1"
"8589","V",1009,"1"
"8590","V",1052,"1"
"8591","V",1039,"1"
"8592","C",17128,"17128"
"8593","V",1017,"1"
"8594","V",1031,"1"
"8595","V",1040,"1"
"8596","V",1050,"1"
"8597","V",1034,"1"
"8598","V",1018,"1"
"8599","V",1004,"1"
"8600","C",17148,"17148"
"8601","V",1008,"1"
"8602","V",1035,"1"
"8603","V",1009,"1"
"8604","V",1001,"1"
"8605","V",1002,"1"
"8606","V",1018,"1"
"8607","C",17168,"17168"
"8608","V",1008,"1"
"8609","V",1017,"1"
"8610","V",1061,"1"
"8611","V",1001,"1"
"8612","V",1034,"1"
"8613","V",1169,"1"
"8614","V",1154,"1"
"8615","C",17173,"17173"
"8616","V",1065,"1"
"8617","V",1063,"1"
"8618","V",1074,"1"
"8619","V",1035,"1"
"8620","V",1027,"1"
"8621","V",1009,"1"
"8622","V",1068,"1"
"8623","V",1042,"1"
"8624","V",1034,"1"
"8625","V",1025,"1"
"8626","V",1020,"1"
"8627","V",1070,"1"
"8628","V",1018,"1"
"8629","V",1021,"1"
"8630","V",1010,"1"
"8631","V",1008,"1"
"8632","V",1030,"1"
"8633","V",1038,"1"
"8634","V",1144,"1"
"8635","V",1026,"1"
"8636","V",1041,"1"
"8637","V",1053,"1"
"8638","C",17174,"17174"
"8639","V",1025,"1"
"8640","V",1064,"1"
"8641","V",1020,"1"
"8642","V",1157,"1"
"8643","V",1070,"1"
"8644","V",1017,"1"
"8645","V",1004,"1"
"8646","V",1008,"1"
"8647","V",1010,"1"
"8648","V",1026,"1"
"8649","V",1068,"1"
"8650","V",1041,"1"
"8651","C",17192,"17192"
"8652","V",1081,"1"
"8653","V",1018,"1"
"8654","V",1010,"1"
"8655","V",1093,"1"
"8656","V",1295,"1"
"8657","V",1026,"1"
"8658","V",1068,"1"
"8659","V",1042,"1"
"8660","V",1043,"1"
"8661","C",17198,"17198"
"8662","V",1008,"1"
"8663","V",1025,"1"
"8664","V",1056,"1"
"8665","V",1017,"1"
"8666","V",1032,"1"
"8667","V",1034,"1"
"8668","C",17211,"17211"
"8669","V",1015,"1"
"8670","V",1017,"1"
"8671","V",1003,"1"
"8672","V",1001,"1"
"8673","V",1018,"1"
"8674","V",1004,"1"
"8675","C",17223,"17223"
"8676","V",1008,"1"
"8677","V",1045,"1"
"8678","V",1027,"1"
"8679","V",1125,"1"
"8680","V",1041,"1"
"8681","V",1034,"1"
"8682","V",1067,"1"
"8683","C",17226,"17226"
"8684","V",1008,"1"
"8685","V",1037,"1"
"8686","V",1009,"1"
"8687","V",1046,"1"
"8688","V",1001,"1"
"8689","V",1034,"1"
"8690","V",1018,"1"
"8691","C",17255,"17255"
"8692","V",1140,"1"
"8693","V",1008,"1"
"8694","V",1020,"1"
"8695","V",1056,"1"
"8696","V",1092,"1"
"8697","V",1032,"1"
"8698","V",1034,"1"
"8699","C",17279,"17279"
"8700","V",1030,"1"
"8701","V",1001,"1"
"8702","V",1003,"1"
"8703","V",1004,"1"
"8704","V",1078,"1"
"8705","V",1018,"1"
"8706","C",17285,"17285"
"8707","V",1025,"1"
"8708","V",1018,"1"
"8709","V",1008,"1"
"8710","V",1038,"1"
"8711","V",1026,"1"
"8712","V",1041,"1"
"8713","V",1053,"1"
"8714","V",1034,"1"
"8715","C",17286,"17286"
"8716","V",1118,"1"
"8717","V",1017,"1"
"8718","V",1001,"1"
"8719","V",1003,"1"
"8720","V",1004,"1"
"8721","V",1074,"1"
"8722","C",17294,"17294"
"8723","V",1035,"1"
"8724","V",1090,"1"
"8725","V",1032,"1"
"8726","V",1001,"1"
"8727","V",1003,"1"
"8728","V",1018,"1"
"8729","C",17295,"17295"
"8730","V",1036,"1"
"8731","V",1081,"1"
"8732","V",1062,"1"
"8733","V",1082,"1"
"8734","V",1040,"1"
"8735","V",1017,"1"
"8736","V",1018,"1"
"8737","C",17298,"17298"
"8738","V",1008,"1"
"8739","V",1037,"1"
"8740","V",1009,"1"
"8741","V",1017,"1"
"8742","V",1001,"1"
"8743","V",1004,"1"
"8744","C",17301,"17301"
"8745","V",1024,"1"
"8746","V",1172,"1"
"8747","V",1063,"1"
"8748","V",1004,"1"
"8749","V",1019,"1"
"8750","V",1057,"1"
"8751","V",1030,"1"
"8752","V",1150,"1"
"8753","V",1026,"1"
"8754","V",1041,"1"
"8755","V",1134,"1"
"8756","C",17321,"17321"
"8757","V",1008,"1"
"8758","V",1035,"1"
"8759","V",1037,"1"
"8760","V",1009,"1"
"8761","V",1069,"1"
"8762","V",1032,"1"
"8763","V",1034,"1"
"8764","V",1018,"1"
"8765","C",17332,"17332"
"8766","V",1098,"1"
"8767","V",1215,"1"
"8768","V",1004,"1"
"8769","V",1008,"1"
"8770","V",1056,"1"
"8771","V",1009,"1"
"8772","V",1023,"1"
"8773","V",1032,"1"
"8774","C",17333,"17333"
"8775","V",1008,"1"
"8776","V",1035,"1"
"8777","V",1130,"1"
"8778","V",1009,"1"
"8779","V",1003,"1"
"8780","V",1059,"1"
"8781","V",1001,"1"
"8782","V",1018,"1"
"8783","V",1004,"1"
"8784","C",17344,"17344"
"8785","V",1035,"1"
"8786","V",1008,"1"
"8787","V",1084,"1"
"8788","V",1009,"1"
"8789","V",1034,"1"
"8790","V",1018,"1"
"8791","C",17349,"17349"
"8792","V",1124,"1"
"8793","V",1076,"1"
"8794","V",1001,"1"
"8795","V",1003,"1"
"8796","V",1004,"1"
"8797","V",1018,"1"
"8798","C",17372,"17372"
"8799","V",1141,"1"
"8800","V",1190,"1"
"8801","V",1130,"1"
"8802","V",1008,"1"
"8803","V",1020,"1"
"8804","V",1042,"1"
"8805","V",1021,"1"
"8806","C",17375,"17375"
"8807","V",1008,"1"
"8808","V",1046,"1"
"8809","V",1009,"1"
"8810","V",1017,"1"
"8811","V",1032,"1"
"8812","V",1034,"1"
"8813","C",17376,"17376"
"8814","V",1130,"1"
"8815","V",1004,"1"
"8816","V",1014,"1"
"8817","V",1000,"1"
"8818","V",1036,"1"
"8819","V",1008,"1"
"8820","V",1089,"1"
"8821","V",1009,"1"
"8822","V",1040,"1"
"8823","V",1032,"1"
"8824","V",1001,"1"
"8825","V",1088,"1"
"8826","C",17388,"17388"
"8827","V",1030,"1"
"8828","V",1062,"1"
"8829","V",1055,"1"
"8830","V",1031,"1"
"8831","V",1076,"1"
"8832","V",1017,"1"
"8833","V",1078,"1"
"8834","V",1004,"1"
"8835","C",17409,"17409"
"8836","V",1008,"1"
"8837","V",1037,"1"
"8838","V",1009,"1"
"8839","V",1295,"1"
"8840","V",1034,"1"
"8841","V",1018,"1"
"8842","C",17420,"17420"
"8843","V",1204,"1"
"8844","V",1069,"1"
"8845","V",1017,"1"
"8846","V",1014,"1"
"8847","V",1067,"1"
"8848","V",1000,"1"
"8849","V",1037,"1"
"8850","V",1009,"1"
"8851","V",1125,"1"
"8852","V",1040,"1"
"8853","C",17422,"17422"
"8854","V",1008,"1"
"8855","V",1036,"1"
"8856","V",1119,"1"
"8857","V",1082,"1"
"8858","V",1040,"1"
"8859","V",1017,"1"
"8860","V",1031,"1"
"8861","V",1014,"1"
"8862","V",1034,"1"
"8863","C",17424,"17424"
"8864","V",1008,"1"
"8865","V",1064,"1"
"8866","V",1046,"1"
"8867","V",1006,"1"
"8868","V",1018,"1"
"8869","V",1034,"1"
"8870","C",17435,"17435"
"8871","V",1008,"1"
"8872","V",1037,"1"
"8873","V",1009,"1"
"8874","V",1017,"1"
"8875","V",1088,"1"
"8876","V",1034,"1"
"8877","C",17440,"17440"
"8878","V",1008,"1"
"8879","V",1189,"1"
"8880","V",1030,"1"
"8881","V",1027,"1"
"8882","V",1001,"1"
"8883","V",1041,"1"
"8884","V",1018,"1"
"8885","V",1034,"1"
"8886","V",1004,"1"
"8887","V",1067,"1"
"8888","C",17451,"17451"
"8889","V",1025,"1"
"8890","V",1017,"1"
"8891","V",1019,"1"
"8892","V",1057,"1"
"8893","V",1113,"1"
"8894","V",1060,"1"
"8895","V",1026,"1"
"8896","V",1052,"1"
"8897","V",1041,"1"
"8898","V",1034,"1"
"8899","C",17456,"17456"
"8900","V",1035,"1"
"8901","V",1008,"1"
"8902","V",1009,"1"
"8903","V",1003,"1"
"8904","V",1018,"1"
"8905","V",1002,"1"
"8906","V",1034,"1"
"8907","C",17465,"17465"
"8908","V",1008,"1"
"8909","V",1045,"1"
"8910","V",1017,"1"
"8911","V",1003,"1"
"8912","V",1001,"1"
"8913","V",1034,"1"
"8914","V",1004,"1"
"8915","C",17466,"17466"
"8916","V",1084,"1"
"8917","V",1026,"1"
"8918","V",1041,"1"
"8919","V",1001,"1"
"8920","V",1034,"1"
"8921","V",1004,"1"
"8922","C",17468,"17468"
"8923","V",1140,"1"
"8924","V",1026,"1"
"8925","V",1007,"1"
"8926","V",1070,"1"
"8927","V",1041,"1"
"8928","V",1032,"1"
"8929","C",17476,"17476"
"8930","V",1025,"1"
"8931","V",1020,"1"
"8932","V",1004,"1"
"8933","V",1072,"1"
"8934","V",1295,"1"
"8935","V",1026,"1"
"8936","V",1068,"1"
"8937","V",1034,"1"
"8938","C",17480,"17480"
"8939","V",1008,"1"
"8940","V",1081,"1"
"8941","V",1049,"1"
"8942","V",1003,"1"
"8943","V",1001,"1"
"8944","V",1034,"1"
"8945","V",1004,"1"
"8946","C",17500,"17500"
"8947","V",1161,"1"
"8948","V",1017,"1"
"8949","V",1018,"1"
"8950","V",1103,"1"
"8951","V",1035,"1"
"8952","V",1008,"1"
"8953","V",1009,"1"
"8954","V",1003,"1"
"8955","V",1001,"1"
"8956","C",17514,"17514"
"8957","V",1151,"1"
"8958","V",1114,"1"
"8959","V",1018,"1"
"8960","V",1035,"1"
"8961","V",1077,"1"
"8962","V",1135,"1"
"8963","V",1001,"1"
"8964","V",1003,"1"
"8965","V",1184,"1"
"8966","V",1083,"1"
"8967","C",17516,"17516"
"8968","V",1064,"1"
"8969","V",1017,"1"
"8970","V",1026,"1"
"8971","V",1001,"1"
"8972","V",1004,"1"
"8973","V",1034,"1"
"8974","C",17518,"17518"
"8975","V",1025,"1"
"8976","V",1076,"1"
"8977","V",1017,"1"
"8978","V",1004,"1"
"8979","V",1018,"1"
"8980","V",1078,"1"
"8981","V",1008,"1"
"8982","V",1041,"1"
"8983","V",1003,"1"
"8984","V",1001,"1"
"8985","V",1034,"1"
"8986","C",17525,"17525"
"8987","V",1017,"1"
"8988","V",1004,"1"
"8989","V",1019,"1"
"8990","V",1000,"1"
"8991","V",1037,"1"
"8992","V",1089,"1"
"8993","V",1038,"1"
"8994","V",1009,"1"
"8995","V",1040,"1"
"8996","V",1060,"1"
"8997","V",1026,"1"
"8998","C",17528,"17528"
"8999","V",1020,"1"
"9000","V",1009,"1"
"9001","V",1017,"1"
"9002","V",1134,"1"
"9003","V",1004,"1"
"9004","V",1091,"1"
"9005","C",17546,"17546"
"9006","V",1146,"1"
"9007","V",1148,"1"
"9008","V",1017,"1"
"9009","V",1063,"1"
"9010","V",1008,"1"
"9011","V",1010,"1"
"9012","V",1038,"1"
"9013","V",1026,"1"
"9014","V",1034,"1"
"9015","C",17548,"17548"
"9016","V",1008,"1"
"9017","V",1064,"1"
"9018","V",1038,"1"
"9019","V",1026,"1"
"9020","V",1070,"1"
"9021","V",1041,"1"
"9022","C",17568,"17568"
"9023","V",1037,"1"
"9024","V",1009,"1"
"9025","V",1069,"1"
"9026","V",1017,"1"
"9027","V",1004,"1"
"9028","V",1034,"1"
"9029","C",17581,"17581"
"9030","V",1035,"1"
"9031","V",1008,"1"
"9032","V",1003,"1"
"9033","V",1001,"1"
"9034","V",1061,"1"
"9035","V",1018,"1"
"9036","V",1034,"1"
"9037","V",1002,"1"
"9038","C",17583,"17583"
"9039","V",1008,"1"
"9040","V",1035,"1"
"9041","V",1016,"1"
"9042","V",1009,"1"
"9043","V",1018,"1"
"9044","V",1057,"1"
"9045","C",17585,"17585"
"9046","V",1010,"1"
"9047","V",1008,"1"
"9048","V",1020,"1"
"9049","V",1126,"1"
"9050","V",1017,"1"
"9051","V",1003,"1"
"9052","V",1041,"1"
"9053","V",1034,"1"
"9054","V",1018,"1"
"9055","C",17586,"17586"
"9056","V",1036,"1"
"9057","V",1295,"1"
"9058","V",1017,"1"
"9059","V",1001,"1"
"9060","V",1003,"1"
"9061","V",1075,"1"
"9062","V",1018,"1"
"9063","V",1078,"1"
"9064","V",1004,"1"
"9065","V",1167,"1"
"9066","C",17592,"17592"
"9067","V",1008,"1"
"9068","V",1045,"1"
"9069","V",1037,"1"
"9070","V",1058,"1"
"9071","V",1017,"1"
"9072","V",1034,"1"
"9073","C",17600,"17600"
"9074","V",1205,"1"
"9075","V",1049,"1"
"9076","V",1003,"1"
"9077","V",1001,"1"
"9078","V",1004,"1"
"9079","V",1018,"1"
"9080","C",17601,"17601"
"9081","V",1017,"1"
"9082","V",1070,"1"
"9083","V",1004,"1"
"9084","V",1035,"1"
"9085","V",1008,"1"
"9086","V",1027,"1"
"9087","V",1009,"1"
"9088","V",1026,"1"
"9089","V",1041,"1"
"9090","V",1034,"1"
"9091","C",17613,"17613"
"9092","V",1008,"1"
"9093","V",1035,"1"
"9094","V",1009,"1"
"9095","V",1001,"1"
"9096","V",1018,"1"
"9097","V",1034,"1"
"9098","V",1004,"1"
"9099","C",17620,"17620"
"9100","V",1036,"1"
"9101","V",1009,"1"
"9102","V",1040,"1"
"9103","V",1017,"1"
"9104","V",1031,"1"
"9105","V",1014,"1"
"9106","V",1074,"1"
"9107","C",17622,"17622"
"9108","V",1164,"1"
"9109","V",1008,"1"
"9110","V",1118,"1"
"9111","V",1017,"1"
"9112","V",1040,"1"
"9113","V",1134,"1"
"9114","V",1004,"1"
"9115","V",1018,"1"
"9116","C",17625,"17625"
"9117","V",1035,"1"
"9118","V",1037,"1"
"9119","V",1009,"1"
"9120","V",1002,"1"
"9121","V",1004,"1"
"9122","V",1018,"1"
"9123","C",17642,"17642"
"9124","V",1045,"1"
"9125","V",1098,"1"
"9126","V",1022,"1"
"9127","V",1017,"1"
"9128","V",1024,"1"
"9129","V",1067,"1"
"9130","V",1074,"1"
"9131","V",1008,"1"
"9132","V",1027,"1"
"9133","V",1009,"1"
"9134","V",1041,"1"
"9135","V",1053,"1"
"9136","V",1034,"1"
"9137","C",17647,"17647"
"9138","V",1008,"1"
"9139","V",1035,"1"
"9140","V",1009,"1"
"9141","V",1017,"1"
"9142","V",1032,"1"
"9143","V",1018,"1"
"9144","C",17649,"17649"
"9145","V",1008,"1"
"9146","V",1035,"1"
"9147","V",1009,"1"
"9148","V",1061,"1"
"9149","V",1032,"1"
"9150","V",1018,"1"
"9151","C",17664,"17664"
"9152","V",1119,"1"
"9153","V",1024,"1"
"9154","V",1067,"1"
"9155","V",1036,"1"
"9156","V",1136,"1"
"9157","V",1110,"1"
"9158","V",1295,"1"
"9159","V",1042,"1"
"9160","V",1034,"1"
"9161","V",1111,"1"
"9162","V",1017,"1"
"9163","V",1092,"1"
"9164","V",1018,"1"
"9165","V",1004,"1"
"9166","V",1072,"1"
"9167","V",1021,"1"
"9168","V",1008,"1"
"9169","V",1112,"1"
"9170","V",1010,"1"
"9171","V",1030,"1"
"9172","V",1095,"1"
"9173","V",1053,"1"
"9174","C",17670,"17670"
"9175","V",1008,"1"
"9176","V",1030,"1"
"9177","V",1009,"1"
"9178","V",1023,"1"
"9179","V",1003,"1"
"9180","V",1004,"1"
"9181","C",17684,"17684"
"9182","V",1058,"1"
"9183","V",1017,"1"
"9184","V",1014,"1"
"9185","V",1018,"1"
"9186","V",1008,"1"
"9187","V",1009,"1"
"9188","V",1011,"1"
"9189","V",1040,"1"
"9190","V",1052,"1"
"9191","V",1003,"1"
"9192","C",17686,"17686"
"9193","V",1008,"1"
"9194","V",1000,"1"
"9195","V",1065,"1"
"9196","V",1004,"1"
"9197","V",1053,"1"
"9198","V",1034,"1"
"9199","V",1014,"1"
"9200","V",1018,"1"
"9201","C",17690,"17690"
"9202","V",1025,"1"
"9203","V",1022,"1"
"9204","V",1026,"1"
"9205","V",1001,"1"
"9206","V",1003,"1"
"9207","V",1034,"1"
"9208","C",17699,"17699"
"9209","V",1010,"1"
"9210","V",1008,"1"
"9211","V",1027,"1"
"9212","V",1183,"1"
"9213","V",1068,"1"
"9214","V",1041,"1"
"9215","V",1004,"1"
"9216","C",17715,"17715"
"9217","V",1008,"1"
"9218","V",1030,"1"
"9219","V",1188,"1"
"9220","V",1003,"1"
"9221","V",1004,"1"
"9222","V",1074,"1"
"9223","C",17726,"17726"
"9224","V",1016,"1"
"9225","V",1017,"1"
"9226","V",1004,"1"
"9227","V",1014,"1"
"9228","V",1008,"1"
"9229","V",1036,"1"
"9230","V",1000,"1"
"9231","V",1037,"1"
"9232","V",1095,"1"
"9233","V",1009,"1"
"9234","V",1040,"1"
"9235","V",1088,"1"
"9236","C",17736,"17736"
"9237","V",1030,"1"
"9238","V",1009,"1"
"9239","V",1017,"1"
"9240","V",1076,"1"
"9241","V",1043,"1"
"9242","V",1018,"1"
"9243","V",1074,"1"
"9244","C",17739,"17739"
"9245","V",1008,"1"
"9246","V",1089,"1"
"9247","V",1031,"1"
"9248","V",1050,"1"
"9249","V",1004,"1"
"9250","V",1019,"1"
"9251","C",17752,"17752"
"9252","V",1008,"1"
"9253","V",1027,"1"
"9254","V",1070,"1"
"9255","V",1041,"1"
"9256","V",1034,"1"
"9257","V",1004,"1"
"9258","C",17769,"17769"
"9259","V",1017,"1"
"9260","V",1076,"1"
"9261","V",1001,"1"
"9262","V",1003,"1"
"9263","V",1002,"1"
"9264","V",1074,"1"
"9265","C",17797,"17797"
"9266","V",1035,"1"
"9267","V",1130,"1"
"9268","V",1037,"1"
"9269","V",1009,"1"
"9270","V",1001,"1"
"9271","V",1003,"1"
"9272","V",1018,"1"
"9273","C",17806,"17806"
"9274","V",1008,"1"
"9275","V",1016,"1"
"9276","V",1183,"1"
"9277","V",1060,"1"
"9278","V",1052,"1"
"9279","V",1014,"1"
"9280","V",1018,"1"
"9281","C",17835,"17835"
"9282","V",1008,"1"
"9283","V",1038,"1"
"9284","V",1069,"1"
"9285","V",1026,"1"
"9286","V",1034,"1"
"9287","V",1004,"1"
"9288","C",17842,"17842"
"9289","V",1064,"1"
"9290","V",1022,"1"
"9291","V",1070,"1"
"9292","V",1026,"1"
"9293","V",1004,"1"
"9294","V",1034,"1"
"9295","C",17844,"17844"
"9296","V",1017,"1"
"9297","V",1024,"1"
"9298","V",1004,"1"
"9299","V",1008,"1"
"9300","V",1037,"1"
"9301","V",1009,"1"
"9302","V",1003,"1"
"9303","V",1001,"1"
"9304","V",1034,"1"
"9305","C",17848,"17848"
"9306","V",1130,"1"
"9307","V",1037,"1"
"9308","V",1009,"1"
"9309","V",1076,"1"
"9310","V",1001,"1"
"9311","V",1018,"1"
"9312","C",17855,"17855"
"9313","V",1076,"1"
"9314","V",1004,"1"
"9315","V",1018,"1"
"9316","V",1074,"1"
"9317","V",1008,"1"
"9318","V",1030,"1"
"9319","V",1003,"1"
"9320","V",1034,"1"
"9321","C",17862,"17862"
"9322","V",1010,"1"
"9323","V",1008,"1"
"9324","V",1035,"1"
"9325","V",1030,"1"
"9326","V",1009,"1"
"9327","V",1024,"1"
"9328","V",1068,"1"
"9329","V",1041,"1"
"9330","V",1078,"1"
"9331","V",1018,"1"
"9332","C",17866,"17866"
"9333","V",1098,"1"
"9334","V",1020,"1"
"9335","V",1017,"1"
"9336","V",1001,"1"
"9337","V",1004,"1"
